Date,Open,High,Low,Close
2021-07-07,14889.76,14891.19,14735.75,14814.11
2021-07-06,14755.15,14797.45,14635.31,14786.36
2021-07-02,14633.51,14738.14,14626.82,14727.63
2021-07-01,14530.63,14576.64,14483.42,14560.05
2021-06-30,14560.07,14582.3,14530.87,14554.8
2021-06-29,14523.63,14575.19,14481.84,14572.75
2021-06-28,14401.63,14530.07,14400.59,14524.98
2021-06-25,14396.63,14401.71,14324.26,14345.18
2021-06-24,14358.3,14429.14,14337.65,14365.96
2021-06-23,14275.09,14324.74,14247.58,14274.24
2021-06-22,14140.29,14288.49,14128.01,14270.42
2021-06-21,14055.04,14150.91,13967.89,14137.23
2021-06-18,14125.12,14140.62,14024.6,14049.58
2021-06-17,13946.7,14205.43,13946.52,14163.81
2021-06-16,14053.12,14100.11,13843.6,13983.01
2021-06-15,14120.81,14126.25,14008.93,14030.41
2021-06-14,14002.14,14129.33,13963.94,14128.2
2021-06-11,13959.47,13998.65,13934,13998.3
2021-06-10,13834.26,13962.98,13817.83,13960.35
2021-06-09,13865.51,13900.71,13811.05,13814.94
2021-06-08,13873.46,13913.4,13746.42,13810.86
2021-06-07,13744.15,13808.42,13710.11,13802.89
2021-06-04,13619.79,13784.77,13613.58,13770.77
2021-06-03,13568.91,13608.54,13469.85,13529.68
2021-06-02,13655.71,13712.68,13610.16,13675.79
2021-06-01,13764.27,13773.45,13602.12,13654.59
2021-05-28,13717,13765.8,13684.83,13686.51
2021-05-27,13686.86,13724.76,13652.13,13657.85
2021-05-26,13687.71,13726.06,13661.06,13702.74
2021-05-25,13701.3,13734.41,13614.54,13657.73
2021-05-24,13504.39,13687.61,13500.12,13641.75
2021-05-21,13573.22,13573.84,13401.53,13411.74
2021-05-20,13294.59,13526.01,13293.1,13494.09
2021-05-19,12998.53,13243.98,12994.35,13237.91
2021-05-18,13352.26,13400.52,13212.85,13217.68
2021-05-17,13329.86,13350.14,13196.57,13312.91
2021-05-14,13238.99,13430,13220.19,13393.12
2021-05-13,13133.73,13226.64,13006.77,13109.15
2021-05-12,13155.07,13236.89,12967.18,13001.63
2021-05-11,13102.64,13381.66,13094.76,13351.27
2021-05-10,13647.73,13648.49,13358.62,13359.08
2021-05-07,13715.56,13814.66,13669.78,13719.63
2021-05-06,13490.94,13617.33,13403.46,13613.73
2021-05-05,13649.12,13676.86,13478.58,13503.37
2021-05-04,13680.63,13705.38,13396.11,13544.67
2021-05-03,13923.04,13955,13784.66,13799.72
2021-04-30,13857.79,13969.21,13838.82,13860.76
2021-04-29,14063.94,14073.48,13836.1,13970.21
2021-04-28,13953.61,13992.08,13895.15,13901.62
2021-04-27,14048.13,14048.34,13931.18,13960.28
2021-04-26,13954.94,14039.4,13919.93,14026.16
2021-04-23,13794.49,13989.43,13789.45,13941.44
2021-04-22,13920.88,13954.03,13716.76,13762.36
2021-04-21,13768.92,13939.7,13717.44,13935.15
2021-04-20,13891.96,13934.89,13730.59,13809.3
2021-04-19,13970.83,14025.64,13835.75,13907.67
2021-04-16,14035.96,14050.38,13966.54,14041.91
2021-04-15,13934.87,14040.11,13931.01,14026.19
2021-04-14,13988.87,13990.54,13782.17,13803.91
2021-04-13,13874.58,14002.53,13874.58,13986.49
2021-04-12,13792.74,13839.39,13747.63,13819.35
2021-04-09,13709.67,13849.31,13674.92,13845.05
2021-04-08,13730.73,13763.18,13703.51,13758.5
2021-04-07,13553.9,13648.8,13532.63,13616.7
2021-04-06,13567.21,13660.29,13551.6,13578.46
2021-04-05,13434.04,13623.6,13420.81,13598.16
2021-04-01,13268.88,13333.41,13255.82,13329.51
2021-03-31,12970.33,13167.06,12966.65,13091.44
2021-03-30,12904.01,12929.46,12798.03,12896.53
2021-03-29,12950.51,13013.47,12836.6,12965.74
2021-03-26,12777.27,12992.3,12721.66,12979.12
2021-03-25,12707.58,12845.66,12627.93,12780.51
2021-03-24,13072.82,13077.49,12797.85,12798.88
2021-03-23,13127.17,13180.66,12993.5,13017.79
2021-03-22,12943.14,13167.46,12943.14,13086.51
2021-03-19,12792.67,12906.02,12704.07,12866.99
2021-03-18,13006.29,13040.36,12781.53,12789.14
2021-03-17,13024.83,13280.29,12950.08,13202.38
2021-03-16,13156.65,13297.48,13091.78,13152.28
2021-03-15,12936.13,13085.01,12885.64,13082.54
2021-03-12,12873.39,12943.58,12778.13,12937.29
2021-03-11,12960.53,13117.86,12920.01,13052.9
2021-03-10,12950.25,12979.38,12726.85,12752.07
2021-03-09,12635.45,12868.52,12592.83,12794.49
2021-03-08,12629.56,12718.58,12287.57,12299.08
2021-03-05,12594.16,12700.96,12208.39,12668.51
2021-03-04,12655.92,12799.08,12314.16,12464
2021-03-03,13020.1,13057.29,12679.89,12683.33
2021-03-02,13297.76,13301.62,13052.12,13059.95
2021-03-01,13106.02,13293.78,13051.7,13282.95
2021-02-26,12958.96,13090.36,12764.34,12909.44
2021-02-25,13197.75,13294.56,12773.76,12828.31
2021-02-24,13095.86,13312.42,12971.82,13302.19
2021-02-23,12982.36,13259.85,12758.12,13194.71
2021-02-22,13414.04,13447.37,13220.77,13223.74
2021-02-19,13686.23,13701.69,13545.45,13580.78
2021-02-18,13556.01,13669.94,13477.17,13637.51
2021-02-17,13636.15,13713.14,13552.67,13699.71
2021-02-16,13841.03,13879.77,13726.78,13773.77
2021-02-12,13695.9,13816.25,13656.78,13807.7
2021-02-11,13723.63,13747.2,13637.19,13734.35
2021-02-10,13751.42,13770.91,13531.93,13655.27
2021-02-09,13667.14,13741.79,13664.7,13687.08
2021-02-08,13672.33,13698.41,13607.96,13695.02
2021-02-05,13592.77,13642.96,13527.81,13603.96
2021-02-04,13454.85,13563.13,13406.44,13560.89
2021-02-03,13555.03,13561.45,13400.08,13402.37
2021-02-02,13371.37,13501.23,13363.75,13456.12
2021-02-01,13067.65,13280.22,12983.1,13248.9
2021-01-29,13124.7,13167.87,12845.43,12925.38
2021-01-28,13163.32,13401.85,13150.1,13201.53
