date,close,ROI,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1
2020-07-07,10524.01,,,,,0,0,0,0
2020-07-08,10666.7,0.01355852,,,,0,0,0,0
2020-07-09,10754.59,0.008239662,,,,0,0,0,0
2020-07-10,10836.33,0.007600476,,,,0,0,0,0
2020-07-13,10602.21,-0.021605101,,,,0,0,0,0
2020-07-14,10689.52,0.008235076,,,,0,0,0,0
2020-07-15,10701.68,0.001137563,,,,0,0,0,0
2020-07-16,10626.46,-0.007028803,,,,0,0,0,0
2020-07-17,10645.22,0.001765404,,,,0,0,0,0
2020-07-20,10952.08,0.028826083,,,,0,0,0,0
2020-07-21,10833.07,-0.010866429,,,,0,0,0,0
2020-07-22,10870.75,0.003478238,,,,0,0,0,0
2020-07-23,10580.59,-0.026691811,,,,0,0,0,0
2020-07-24,10483.13,-0.009211207,,,,0,0,0,0
2020-07-27,10674.38,0.018243597,,,,0,0,0,0
2020-07-28,10532.5,-0.013291638,,,,0,0,0,0
2020-07-29,10662.98,0.012388322,,,,0,0,0,0
2020-07-30,10715.51,0.00492639,,,,0,0,0,0
2020-07-31,10905.88,0.017765837,,,,0,0,0,0
2020-08-03,11055.08,0.013680693,,,,0,0,0,0
2020-08-04,11096.54,0.003750312,126.6363858,,,0,0,0,0
2020-08-05,11125.44,0.002604415,149.9261307,,,0,0,0,0
2020-08-06,11267.08,0.012731182,181.9640084,,,0,0,0,0
2020-08-07,11139.39,-0.011333016,184.1736389,,,0,0,0,0
2020-08-10,11085.17,-0.004867412,174.8955263,,,0,0,0,0
2020-08-11,10876.08,-0.018862137,137.3457391,,,0,0,0,0
2020-08-12,11157.72,0.025895359,145.0037534,,,0,0,0,0
2020-08-13,11178.37,0.001850737,150.2007584,,,0,0,0,0
2020-08-14,11164.45,-0.001245262,149.0131709,-6.448952653,155.4621235,0,0,0,0
2020-08-17,11288.57,0.011117431,161.4616813,4.799646206,156.6620351,0,0,0,0
2020-08-18,11399.03,0.009785119,181.5066547,19.87569568,161.630959,0,0,0,0
2020-08-19,11318.64,-0.007052354,181.4568045,15.86067637,165.5961281,0,0,0,0
2020-08-20,11477.05,0.013995498,198.5570759,26.36875827,172.1883177,0,0,0,0
2020-08-21,11555.16,0.006805756,216.8937916,35.76437915,181.1294125,0,0,0,0
2020-08-24,11626.17,0.006145307,234.8019988,42.93806909,191.8639297,0,0,0,0
2020-08-25,11721.81,0.008226269,255.2796807,50.73260078,204.5470799,0,0,0,0
2020-08-26,11971.94,0.021338855,297.447038,74.31996645,223.1270715,0,0,0,0
2020-08-27,11926.16,-0.003823942,315.2417949,73.69177868,241.5500162,0,0,0,0
2020-08-28,11995.85,0.005843457,330.6066373,71.24529683,259.3613404,0,0,0,0
2020-08-31,12110.7,0.009574144,349.8730584,72.40937436,277.463684,0,0,0,0
2020-09-01,12292.86,0.015041245,380.3476378,82.30716302,298.0404748,0,0,0,0
2020-09-02,12420.54,0.010386517,410.9775901,90.3496923,320.6278978,0,0,0,0
2020-09-03,11771.37,-0.052265844,339.0880092,14.76808907,324.3199201,0,0,0,0
2020-09-04,11622.13,-0.012678218,261.8095578,-50.00828985,311.8178476,0,1,1,0
2020-09-08,11068.26,-0.047656497,129.1487425,-146.1352841,275.2840266,0,0,0,0
2020-09-09,11395.85,0.029597245,75.75596926,-159.6224459,235.3784151,0,0,0,0
2020-09-10,11154.12,-0.021212108,4.730756454,-184.518127,189.2488834,0,0,0,0
2020-09-11,11087.4,-0.005981646,-54.34587394,-194.8758059,140.5299319,0,0,0,0
2020-09-14,11277.76,0.017169039,-70.02256465,-168.4419973,98.41943262,0,0,0,0
2020-09-15,11438.87,0.014285638,-58.53663758,-125.5648562,67.02821858,0,0,0,0
2020-09-16,11247.6,-0.016721057,-74.34897929,-113.1017583,38.75277901,0,0,0,0
2020-09-17,11080.95,-0.014816494,-105.9107567,-115.7308286,9.820071869,0,0,0,0
2020-09-18,10936.98,-0.012992568,-144.9927052,-123.8502217,-21.14248355,0,0,0,0
2020-09-21,10980.22,0.003953559,-164.0192808,-114.3014378,-49.717843,0,0,0,0
2020-09-22,11186.37,0.018774669,-147.0886923,-77.8966794,-69.19201285,0,0,0,0
2020-09-23,10833.33,-0.031559836,-178.5048682,-87.45028426,-91.05458392,0,0,0,0
2020-09-24,10896.47,0.005828309,-188.8210558,-78.21317753,-110.6078783,0,0,0,0
2020-09-25,11151.13,0.023370871,-158.8605611,-38.60214626,-120.2584149,0,0,0,0
2020-09-28,11364.45,0.0191299,-106.4553515,11.04245068,-117.4978022,1,0,0,1
2020-09-29,11322.95,-0.003651739,-72.70004468,35.83820601,-108.5382507,0,0,0,0
2020-09-30,11418.06,0.008399754,-34.87477633,58.93077949,-93.80555582,0,0,0,0
2020-10-01,11583.2,0.014463052,14.25995436,86.45240814,-72.19245378,0,0,0,0
2020-10-02,11255.69,-0.02827457,5.7072396,62.31975471,-56.61251511,0,0,0,0
2020-10-05,11509.06,0.022510393,32.81537584,71.54231276,-38.72693692,0,0,0,0
2020-10-06,11291.27,-0.018923353,22.72112115,49.15844645,-26.4373253,0,0,0,0
2020-10-07,11503.19,0.018768482,42.95263558,55.51196871,-12.55933313,0,0,0,0
2020-10-08,11550.94,0.004151022,62.66021881,60.17564155,2.484577259,0,0,0,0
2020-10-09,11725.85,0.015142491,98.2969904,76.64993051,21.64705989,0,0,0,0
2020-10-12,12088.11,0.030894136,169.0784049,117.945076,51.13332888,0,0,0,0
2020-10-13,12083.17,-0.000408666,215.0614574,131.1425028,83.91895459,0,0,0,0
2020-10-14,11985.36,-0.00809473,230.3863136,117.1738872,113.2124264,0,0,0,0
2020-10-15,11898.57,-0.007241334,225.1711349,89.56696679,135.6041681,0,0,0,0
2020-10-16,11852.17,-0.003899628,210.8417937,60.19010046,150.6516932,0,0,0,0
2020-10-19,11634.35,-0.018378069,167.8478798,13.75694928,154.0909305,0,0,0,0
2020-10-20,11677.84,0.003738069,139.7680845,-11.45827678,151.2263613,0,1,1,0
2020-10-21,11665.37,-0.001067834,115.4526115,-28.6189999,144.0716114,0,0,0,0
2020-10-22,11662.91,-0.000210881,95.6044464,-38.77373196,134.3781784,0,0,0,0
2020-10-23,11692.57,0.002543105,83.53373482,-40.67555483,124.2092897,0,0,0,0
2020-10-26,11504.52,-0.016082863,48.61790371,-60.47310875,109.0910125,0,0,0,0
2020-10-27,11598.95,0.008208078,35.34766144,-58.99468082,94.34234226,0,0,0,0
2020-10-28,11142.76,-0.039330284,-34.6531697,-103.1964096,68.54323987,0,0,0,0
2020-10-29,11350.74,0.018665035,-56.13813778,-99.74510212,43.60696434,0,0,0,0
2020-10-30,11052.95,-0.026235294,-109.2991629,-122.3249018,13.02573889,0,0,0,0
2020-11-02,11084.76,0.002877965,-140.502632,-122.8226967,-17.67993528,0,0,0,0
2020-11-03,11279.91,0.017605253,-134.1014963,-93.13724881,-40.96424749,0,0,0,0
2020-11-04,11777.02,0.044070387,-61.58924893,-16.50000115,-45.08924777,0,0,0,0
2020-11-05,12078.07,0.025562494,30.45808252,60.43786424,-29.97978172,1,0,0,1
2020-11-06,12091.35,0.001099513,96.67057784,101.3202876,-4.649709804,0,0,0,0
2020-11-09,11830.39,-0.021582371,107.267078,89.53343025,17.73364776,0,0,0,0
2020-11-10,11624.29,-0.017421235,85.52890483,54.23620566,31.29269917,0,0,0,0
2020-11-11,11892.93,0.023110229,103.7065823,57.93110649,45.7754758,0,0,0,0
2020-11-12,11827.14,-0.005531858,105.8253122,48.03986909,57.78544307,0,0,0,0
2020-11-13,11937.84,0.009359828,119.7218825,49.54915157,70.17273096,0,0,0,0
2020-11-16,12013.38,0.006327778,137.0485104,53.50062357,83.54788685,0,0,0,0
2020-11-17,11977.49,-0.002987502,141.8181764,46.61623163,95.20194476,0,0,0,0
2020-11-18,11894.71,-0.006911298,131.4555528,29.00288644,102.4526664,0,0,0,0
2020-11-19,11985.43,0.00762692,133.3855048,24.74627072,108.6392341,0,0,0,0
2020-11-20,11906.44,-0.006590502,121.6830364,10.43504184,111.2479945,0,0,0,0
2020-11-23,11905.94,-4.20E-05,110.884664,-0.290664395,111.1753284,0,1,1,0
2020-11-24,12079.81,0.014603635,123.8407712,10.13235421,113.708417,0,0,0,0
2020-11-25,12152.22,0.0059943,140.0082051,21.03983051,118.9683746,0,0,0,0
2020-11-27,12258.21,0.008721863,162.5291542,34.84862371,127.6805305,0,0,0,0
2020-11-30,12268.32,0.000824753,176.4972162,39.05334851,137.4438676,0,0,0,0
2020-12-01,12455.33,0.015243326,207.3648919,55.93681944,151.4280725,0,0,0,0
2020-12-02,12456.41,8.67E-05,225.1431497,58.97206178,166.171088,0,0,0,0
2020-12-03,12467.13,0.000860601,234.5729654,54.72150192,179.8514634,0,0,0,0
2020-12-04,12528.48,0.00492094,244.5577246,51.76500891,192.7927157,0,0,0,0
2020-12-07,12596.47,0.005426835,255.605075,50.2498875,205.3551875,0,0,0,0
2020-12-08,12635.72,0.003115952,263.4066344,46.44115753,216.9654769,0,0,0,0
2020-12-09,12364.64,-0.021453467,228.0051788,8.831761503,219.1734173,0,0,0,0
2020-12-10,12401.74,0.003000492,203.2393985,-12.74721507,215.9866135,0,1,1,0
2020-12-11,12375.41,-0.002123089,178.1649195,-30.25735525,208.4222747,0,0,0,0
2020-12-14,12462.21,0.007013909,168.2341784,-32.15047708,200.3846554,0,0,0,0
2020-12-15,12595.92,0.010729237,175.3716508,-20.01040375,195.3820545,0,0,0,0
2020-12-16,12668.16,0.00573519,186.3615474,-7.216405701,193.5779531,0,0,0,0
2020-12-17,12752.06,0.006622903,201.3844733,6.245216198,195.1392571,1,0,0,1
2020-12-18,12738.18,-0.001088452,206.1157447,8.781190087,197.3345547,0,0,0,0
2020-12-21,12690.26,-0.003761919,199.0046085,1.336043054,197.6685654,0,0,0,0
2020-12-22,12717.56,0.002151256,193.5410857,-3.301983785,196.8430695,0,1,1,0
2020-12-23,12653.14,-0.005065437,177.3088759,-15.62735484,192.9362308,0,0,0,0
2020-12-24,12711.01,0.004573568,169.8486493,-18.47006516,188.3187145,0,0,0,0
2020-12-28,12838.86,0.010058209,177.9308396,-8.310299904,186.2411395,0,0,0,0
2020-12-29,12843.49,0.000360624,180.658937,-4.465762018,185.124699,0,0,0,0
