date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3
2020-10-22 17:00,1903.88,,,,,0,0,0,0
2020-10-22 18:00,1906.45,0.001349875,,,,0,0,0,0
2020-10-22 19:00,1904.94,-0.000792048,,,,0,0,0,0
2020-10-22 20:00,1903.31,-0.00085567,,,,0,0,0,0
2020-10-22 21:00,1904.57,0.000662005,,,,0,0,0,0
2020-10-22 22:00,1907.02,0.00128638,,,,0,0,0,0
2020-10-22 23:00,1906.55,-0.000246458,,,,0,0,0,0
2020-10-23 0:00,1905.95,-0.000314705,,,,0,0,0,0
2020-10-23 1:00,1904.92,-0.000540413,,,,0,0,0,0
2020-10-23 2:00,1906.49,0.000824182,,,,0,0,0,0
2020-10-23 3:00,1908.84,0.001232632,,,,0,0,0,0
2020-10-23 4:00,1911.12,0.001194443,,,,0,0,0,0
2020-10-23 5:00,1909.25,-0.000978484,,,,0,0,0,0
2020-10-23 6:00,1910.68,0.000748985,,,,0,0,0,0
2020-10-23 7:00,1910.78,5.23E-05,,,,0,0,0,0
2020-10-23 8:00,1910.72,-3.14E-05,,,,0,0,0,0
2020-10-23 9:00,1903.46,-0.003799615,,,,0,0,0,0
2020-10-23 10:00,1898.02,-0.002857953,,,,0,0,0,0
2020-10-23 11:00,1898.78,0.000400417,,,,0,0,0,0
2020-10-23 12:00,1900.96,0.001148106,1902.017369,1909.651631,1905.8345,0,0,0,0
2020-10-23 13:00,1903.25,0.001204654,1901.966342,1909.639658,1905.803,0,0,0,0
2020-10-23 14:00,1902.24,-0.000530671,1901.678496,1909.506504,1905.5925,0,0,0,0
2020-10-23 15:00,1903.72,0.00077803,1901.597336,1909.465664,1905.5315,0,0,0,0
2020-10-23 16:00,1902.05,-0.00087723,1901.487085,1909.449915,1905.4685,0,0,0,0
2020-10-25 18:00,1893.74,-0.00436897,1900.15831,1909.69569,1904.927,0,0,0,0
2020-10-25 19:00,1898.64,0.002587472,1899.56782,1909.44818,1904.508,0,0,0,0
2020-10-25 20:00,1900.21,0.000826908,1899.185764,1909.196236,1904.191,0,0,0,0
2020-10-25 21:00,1897.65,-0.00134722,1898.583691,1908.968309,1903.776,0,0,0,0
2020-10-25 22:00,1899.1,0.000764103,1898.197955,1908.772045,1903.485,0,0,0,0
2020-10-25 23:00,1898.42,-0.000358064,1897.72833,1908.43467,1903.0815,0,0,0,0
2020-10-26 0:00,1897.57,-0.000447741,1897.209924,1907.826076,1902.518,0,0,0,0
2020-10-26 1:00,1897.22,-0.000184446,1896.798054,1906.847946,1901.823,0,0,0,0
2020-10-26 2:00,1897.86,0.000337336,1896.475204,1906.031796,1901.2535,0,0,0,0
2020-10-26 3:00,1900.49,0.001385771,1896.511654,1904.976346,1900.744,0,0,0,0
2020-10-26 4:00,1898.53,-0.001031313,1896.599543,1903.663457,1900.1315,0,0,0,0
2020-10-26 5:00,1902.82,0.002259643,1897.130729,1902.342271,1899.7365,0,1,0,0
2020-10-26 6:00,1904.76,0.001019539,1897.084134,1902.518866,1899.8015,0,0,0,0
2020-10-26 7:00,1903.93,-0.00043575,1897.264651,1902.929349,1900.097,0,0,0,0
2020-10-26 8:00,1901.5,-0.001276307,1897.401915,1903.064085,1900.233,0,0,0,0
2020-10-26 9:00,1905.22,0.00195635,1897.404878,1903.487122,1900.446,0,0,0,0
2020-10-26 10:00,1903.67,-0.000813554,1897.404124,1903.529876,1900.467,0,0,0,0
2020-10-26 11:00,1904.48,0.000425494,1897.408803,1903.749197,1900.579,0,0,0,0
2020-10-26 12:00,1904.21,-0.000141771,1897.405976,1903.801024,1900.6035,0,0,0,0
2020-10-26 13:00,1902.68,-0.000803483,1897.419424,1903.850576,1900.635,0,0,0,0
2020-10-26 14:00,1903.46,0.000409948,1898.290951,1903.951049,1901.121,0,0,0,0
2020-10-26 15:00,1902.49,-0.000509598,1898.530544,1904.096456,1901.3135,0,0,0,0
2020-10-26 16:00,1902.08,-0.000215507,1898.631667,1904.182333,1901.407,0,0,0,0
2020-10-26 17:00,1902.04,-2.10E-05,1898.99402,1904.25898,1901.6265,0,0,0,0
2020-10-26 18:00,1902.56,0.000273391,1899.228828,1904.370172,1901.7995,0,0,0,0
2020-10-26 19:00,1902.29,-0.000141914,1899.547495,1904.438505,1901.993,0,0,0,0
2020-10-26 20:00,1905.41,0.001640128,1900.060428,1904.709572,1902.385,0,1,0,0
2020-10-26 21:00,1907.05,0.000860707,1900.665015,1905.087985,1902.8765,0,0,0,0
2020-10-26 22:00,1908.94,0.000991059,1901.154942,1905.706058,1903.4305,0,0,0,0
2020-10-26 23:00,1907.7,-0.000649575,1901.436073,1906.145927,1903.791,0,0,0,0
2020-10-27 0:00,1907.74,2.10E-05,1902.08667,1906.41633,1904.2515,0,0,0,0
2020-10-27 1:00,1907.78,2.10E-05,1902.225918,1906.773082,1904.4995,0,0,0,0
2020-10-27 2:00,1908.53,0.000393127,1902.241943,1907.134057,1904.688,0,0,0,0
2020-10-27 3:00,1904.27,-0.002232084,1902.263311,1907.146689,1904.705,0,0,1,0
2020-10-27 4:00,1901.37,-0.001522893,1902.247674,1907.149326,1904.6985,0,0,0,1
2020-10-27 5:00,1900.93,-0.000231412,1901.897254,1907.070746,1904.484,0,0,0,0
2020-10-27 6:00,1900.92,-5.26E-06,1901.643721,1907.049279,1904.3465,0,0,0,0
2020-10-27 7:00,1903,0.001094207,1901.553358,1906.991642,1904.2725,0,0,0,0
2020-10-27 8:00,1905.73,0.001434577,1901.610023,1907.086977,1904.3485,0,0,0,0
2020-10-27 9:00,1906.79,0.000556217,1901.7932,1907.3148,1904.554,0,0,0,0
2020-10-27 10:00,1905.78,-0.000529686,1901.908847,1907.431153,1904.67,0,0,0,0
2020-10-27 11:00,1908.72,0.001542675,1902.129309,1907.833691,1904.9815,0,1,0,0
2020-10-27 12:00,1909.45,0.000382455,1902.417444,1908.282556,1905.35,0,0,0,0
2020-10-27 13:00,1908.71,-0.000387546,1902.767962,1908.599038,1905.6835,0,0,0,0
2020-10-27 14:00,1908.02,-0.000361501,1903.093678,1908.819322,1905.9565,0,0,0,0
2020-10-27 15:00,1908,-1.05E-05,1903.481168,1909.002832,1906.242,0,0,0,0
2020-10-27 16:00,1907.99,-5.24E-06,1903.590881,1909.151119,1906.371,0,0,0,0
2020-10-27 17:00,1907.96,-1.57E-05,1903.617302,1909.215698,1906.4165,0,0,0,0
2020-10-27 18:00,1905.04,-0.00153043,1903.471946,1908.971054,1906.2215,0,0,0,0
2020-10-27 19:00,1905.29,0.000131231,1903.366886,1908.835114,1906.101,0,0,0,0
2020-10-27 20:00,1906.51,0.000640322,1903.330475,1908.748525,1906.0395,0,0,0,0
2020-10-27 21:00,1906.74,0.000120639,1903.303779,1908.671221,1905.9875,0,0,0,0
2020-10-27 22:00,1905.74,-0.000524455,1903.23173,1908.46427,1905.848,0,0,0,0
2020-10-27 23:00,1906.86,0.000587698,1903.379412,1908.575588,1905.9775,0,0,0,0
2020-10-28 0:00,1908.28,0.00074468,1903.917565,1908.728435,1906.323,0,0,0,0
2020-10-28 1:00,1908.43,7.86E-05,1904.614497,1908.781503,1906.698,0,0,0,0
2020-10-28 2:00,1906.43,-0.001047982,1905.389912,1908.557088,1906.9735,0,0,0,0
2020-10-28 3:00,1906.13,-0.000157362,1905.830603,1908.429397,1907.13,0,0,0,0
2020-10-28 4:00,1904.18,-0.001023015,1905.625273,1908.479727,1907.0525,0,0,0,1
2020-10-28 5:00,1899.93,-0.002231932,1904.569521,1908.849479,1906.7095,0,0,0,0
2020-10-28 6:00,1896.58,-0.001763223,1903.133147,1909.365853,1906.2495,0,0,0,0
2020-10-28 7:00,1891.23,-0.002820867,1900.85191,1909.89809,1905.375,0,0,0,0
2020-10-28 8:00,1882.15,-0.004801108,1897.226743,1910.793257,1904.01,0,0,0,0
2020-10-28 9:00,1876.18,-0.003171904,1893.282465,1911.484535,1902.3835,0,0,0,0
2020-10-28 10:00,1871.78,-0.002345191,1889.302341,1911.840659,1900.5715,0,0,0,0
2020-10-28 11:00,1882.73,0.005850046,1887.511272,1911.104728,1899.308,0,0,0,0
2020-10-28 12:00,1880.64,-0.00111009,1885.629168,1910.251832,1897.9405,0,0,0,0
2020-10-28 13:00,1881.13,0.00026055,1883.97901,1909.21899,1896.599,0,0,0,0
2020-10-28 14:00,1877.01,-0.002190173,1882.02014,1908.37486,1895.1975,0,0,0,0
2020-10-28 15:00,1876.99,-1.07E-05,1880.23177,1907.33323,1893.7825,0,0,0,0
2020-10-28 16:00,1877.19,0.000106554,1878.629853,1906.003147,1892.3165,0,0,0,0
2020-10-28 17:00,1877.08,-5.86E-05,1877.185115,1904.481885,1890.8335,0,0,0,0
2020-10-28 18:00,1878.19,0.000591344,1876.002388,1902.909612,1889.456,1,0,0,0
2020-10-28 19:00,1879.4,0.000644237,1875.106269,1901.059731,1888.083,0,0,0,0
2020-10-28 20:00,1878.4,-0.000532085,1874.361515,1898.816485,1886.589,0,0,0,0
2020-10-28 21:00,1878.43,1.60E-05,1873.884545,1896.293455,1885.089,0,0,0,0
2020-10-28 22:00,1878.6,9.05E-05,1873.610511,1893.784489,1883.6975,0,0,0,0
2020-10-28 23:00,1881.9,0.001756627,1873.890227,1891.081773,1882.486,0,0,0,0
2020-10-29 0:00,1882.42,0.000276316,1874.479075,1888.316925,1881.398,0,0,0,0
2020-10-29 1:00,1882.78,0.000191243,1875.143972,1885.937028,1880.5405,0,0,0,0
2020-10-29 2:00,1882.95,9.03E-05,1875.934858,1883.783142,1879.859,0,0,0,0
2020-10-29 3:00,1881.35,-0.00084973,1876.457463,1882.272537,1879.365,0,0,0,0
2020-10-29 4:00,1877.73,-0.00192415,1876.291837,1881.996163,1879.144,0,0,0,0
2020-10-29 5:00,1877.35,-0.000202372,1876.402814,1882.002186,1879.2025,0,0,0,0
2020-10-29 6:00,1877.99,0.000340906,1877.296139,1881.729861,1879.513,0,0,0,0
2020-10-29 7:00,1872.24,-0.003061784,1876.368532,1881.608468,1878.9885,0,0,0,1
2020-10-29 8:00,1864.08,-0.004358416,1873.953709,1882.367291,1878.1605,0,0,0,0
2020-10-29 9:00,1871.86,0.004173641,1873.327088,1882.066912,1877.697,0,0,0,0
2020-10-29 10:00,1873.8,0.001036402,1873.081899,1881.991101,1877.5365,0,0,0,0
