date,close,ROI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Entry_signal_long_4,Exit_signal_long_4,Entry_signal_short_4,Exit_signal_short_4
2020-10-22 17:00,1903.88,,,,,0,0,0,0
2020-10-22 18:00,1906.45,0.001349875,,,,0,0,0,0
2020-10-22 19:00,1904.94,-0.000792048,,,,0,0,0,0
2020-10-22 20:00,1903.31,-0.00085567,,,,0,0,0,0
2020-10-22 21:00,1904.57,0.000662005,,,,0,0,0,0
2020-10-22 22:00,1907.02,0.00128638,,,,0,0,0,0
2020-10-22 23:00,1906.55,-0.000246458,,,,0,0,0,0
2020-10-23 0:00,1905.95,-0.000314705,,,,0,0,0,0
2020-10-23 1:00,1904.92,-0.000540413,,,,0,0,0,0
2020-10-23 2:00,1906.49,0.000824182,,,,0,0,0,0
2020-10-23 3:00,1908.84,0.001232632,,,,0,0,0,0
2020-10-23 4:00,1911.12,0.001194443,,,,0,0,0,0
2020-10-23 5:00,1909.25,-0.000978484,,,,0,0,0,0
2020-10-23 6:00,1910.68,0.000748985,,,,0,0,0,0
2020-10-23 7:00,1910.78,5.23E-05,,,,0,0,0,0
2020-10-23 8:00,1910.72,-3.14E-05,,,,0,0,0,0
2020-10-23 9:00,1903.46,-0.003799615,,,,0,0,0,0
2020-10-23 10:00,1898.02,-0.002857953,,,,0,0,0,0
2020-10-23 11:00,1898.78,0.000400417,,,,0,0,0,0
2020-10-23 12:00,1900.96,0.001148106,,,,0,0,0,0
2020-10-23 13:00,1903.25,0.001204654,,,,0,0,0,0
2020-10-23 14:00,1902.24,-0.000530671,,,,0,0,0,0
2020-10-23 15:00,1903.72,0.00077803,,,,0,0,0,0
2020-10-23 16:00,1902.05,-0.00087723,,,,0,0,0,0
2020-10-25 18:00,1893.74,-0.00436897,,,,0,0,0,0
2020-10-25 19:00,1898.64,0.002587472,-3.09898128,,,0,0,0,0
2020-10-25 20:00,1900.21,0.000826908,-2.974654114,,,0,0,0,0
2020-10-25 21:00,1897.65,-0.00134722,-3.047564122,,,0,0,0,0
2020-10-25 22:00,1899.1,0.000764103,-2.954287757,,,0,0,0,0
2020-10-25 23:00,1898.42,-0.000358064,-2.901785901,,,0,0,0,0
2020-10-26 0:00,1897.57,-0.000447741,-2.89538945,,,0,0,0,0
2020-10-26 1:00,1897.22,-0.000184446,-2.885302323,,,0,0,0,0
2020-10-26 2:00,1897.86,0.000337336,-2.793464234,,,0,0,0,0
2020-10-26 3:00,1900.49,0.001385771,-2.479876396,0.412490891,-2.892367286,0,0,0,0
2020-10-26 4:00,1898.53,-0.001031313,-2.362280495,0.424069433,-2.786349928,0,0,0,0
2020-10-26 5:00,1902.82,0.002259643,-1.901004156,0.708276617,-2.609280774,0,0,0,0
2020-10-26 6:00,1904.76,0.001019539,-1.363183616,0.996877726,-2.360061342,0,0,0,0
2020-10-26 7:00,1903.93,-0.00043575,-0.992490217,1.0940569,-2.086547117,0,0,0,0
2020-10-26 8:00,1901.5,-0.001276307,-0.88459664,0.961560382,-1.846157022,0,0,0,0
2020-10-26 9:00,1905.22,0.00195635,-0.493231625,1.082340318,-1.575571942,0,0,0,0
2020-10-26 10:00,1903.67,-0.000813554,-0.304632463,1.016751583,-1.321384046,0,0,0,0
2020-10-26 11:00,1904.48,0.000425494,-0.088782608,0.986081151,-1.074863759,0,0,0,0
2020-10-26 12:00,1904.21,-0.000141771,0.059803833,0.907734073,-0.84793024,0,0,0,0
2020-10-26 13:00,1902.68,-0.000803483,0.053484904,0.721132115,-0.667647212,0,0,0,0
2020-10-26 14:00,1903.46,0.000409948,0.110146883,0.622235276,-0.512088393,0,0,0,0
2020-10-26 15:00,1902.49,-0.000509598,0.07590602,0.47039553,-0.39448951,0,0,0,0
2020-10-26 16:00,1902.08,-0.000215507,0.015507554,0.327997651,-0.312490097,0,0,0,0
2020-10-26 17:00,1902.04,-2.10E-05,-0.035180789,0.221847446,-0.257028236,0,0,0,0
2020-10-26 18:00,1902.56,0.000273391,-0.033011476,0.179213407,-0.212224884,0,0,0,0
2020-10-26 19:00,1902.29,-0.000141914,-0.052474135,0.127800599,-0.180274734,0,0,0,0
2020-10-26 20:00,1905.41,0.001640128,0.181764229,0.28963117,-0.107866942,0,0,0,0
2020-10-26 21:00,1907.05,0.000860707,0.494039137,0.481524863,0.012514274,0,0,0,0
2020-10-26 22:00,1908.94,0.000991059,0.883838121,0.697059078,0.186779044,0,0,0,0
2020-10-26 23:00,1907.7,-0.000649575,1.080246578,0.714774027,0.36547255,0,0,0,0
2020-10-27 0:00,1907.74,2.10E-05,1.225008228,0.687628542,0.537379686,0,0,0,0
2020-10-27 1:00,1907.78,2.10E-05,1.32765615,0.632221171,0.695434979,0,0,0,0
2020-10-27 2:00,1908.53,0.000393127,1.452777387,0.605873927,0.84690346,0,0,0,0
2020-10-27 3:00,1904.27,-0.002232084,1.194421918,0.278014766,0.916407152,0,0,0,0
2020-10-27 4:00,1901.37,-0.001522893,0.747055988,-0.135480931,0.882536919,0,1,1,0
2020-10-27 5:00,1900.93,-0.000231412,0.352942442,-0.423675582,0.776618024,0,0,0,0
2020-10-27 6:00,1900.92,-5.26E-06,0.039344166,-0.589819087,0.629163252,0,0,0,0
2020-10-27 7:00,1903,0.001094207,-0.04087493,-0.536030546,0.495155616,0,0,0,0
2020-10-27 8:00,1905.73,0.001434577,0.11451894,-0.304509341,0.41902828,0,0,0,0
2020-10-27 9:00,1906.79,0.000556217,0.319519619,-0.079606929,0.399126548,0,0,0,0
2020-10-27 10:00,1905.78,-0.000529686,0.395921637,-0.002563929,0.398485566,0,0,0,0
2020-10-27 11:00,1908.72,0.001542675,0.685798755,0.229850551,0.455948204,1,0,0,1
2020-10-27 12:00,1909.45,0.000382455,0.963328705,0.405904401,0.557424304,0,0,0,0
2020-10-27 13:00,1908.71,-0.000387546,1.110757256,0.442666362,0.668090894,0,0,0,0
2020-10-27 14:00,1908.02,-0.000361501,1.158563018,0.392377699,0.766185319,0,0,0,0
2020-10-27 15:00,1908,-1.05E-05,1.181219236,0.332027134,0.849192103,0,0,0,0
2020-10-27 16:00,1907.99,-5.24E-06,1.184710926,0.268415059,0.916295867,0,0,0,0
2020-10-27 17:00,1907.96,-1.57E-05,1.171552438,0.204205257,0.967347182,0,0,0,0
2020-10-27 18:00,1905.04,-0.00153043,0.914957584,-0.041911678,0.956869262,0,1,1,0
2020-10-27 19:00,1905.29,0.000131231,0.723437883,-0.186745103,0.910182986,0,0,0,0
2020-10-27 20:00,1906.51,0.000640322,0.662464466,-0.198174817,0.860639282,0,0,0,0
2020-10-27 21:00,1906.74,0.000120639,0.625491395,-0.188118309,0.813609705,0,0,0,0
2020-10-27 22:00,1905.74,-0.000524455,0.509623704,-0.243188801,0.752812505,0,0,0,0
2020-10-27 23:00,1906.86,0.000587698,0.502381225,-0.200345024,0.702726249,0,0,0,0
2020-10-28 0:00,1908.28,0.00074468,0.604258129,-0.078774496,0.683032625,0,0,0,0
2020-10-28 1:00,1908.43,7.86E-05,0.689155896,0.004898617,0.684257279,1,0,0,1
2020-10-28 2:00,1906.43,-0.001047982,0.588273452,-0.076787061,0.665060514,0,1,0,0
2020-10-28 3:00,1906.13,-0.000157362,0.478598906,-0.149169286,0.627768192,0,0,0,0
2020-10-28 4:00,1904.18,-0.001023015,0.231661881,-0.316885049,0.54854693,0,0,0,0
2020-10-28 5:00,1899.93,-0.002231932,-0.303478659,-0.681620471,0.378141812,0,0,0,0
2020-10-28 6:00,1896.58,-0.001763223,-0.986526334,-1.091734517,0.105208183,0,0,0,0
2020-10-28 7:00,1891.23,-0.002820867,-1.937215808,-1.633939192,-0.303276615,0,0,0,0
2020-10-28 8:00,1882.15,-0.004801108,-3.384311939,-2.464828259,-0.91948368,0,0,0,0
2020-10-28 9:00,1876.18,-0.003171904,-4.955748372,-3.229011754,-1.726736618,0,0,0,0
2020-10-28 10:00,1871.78,-0.002345191,-6.48145215,-3.803772425,-2.677679725,0,0,0,0
2020-10-28 11:00,1882.73,0.005850046,-6.729437136,-3.241405929,-3.488031207,0,0,0,0
2020-10-28 12:00,1880.64,-0.00111009,-7.013762272,-2.820584852,-4.19317742,0,0,0,0
2020-10-28 13:00,1881.13,0.00026055,-7.117506896,-2.339463581,-4.778043315,0,0,0,0
2020-10-28 14:00,1877.01,-0.002190173,-7.446338076,-2.134635809,-5.311702267,0,0,0,0
2020-10-28 15:00,1876.99,-1.07E-05,-7.620706231,-1.847203171,-5.77350306,0,0,0,0
2020-10-28 16:00,1877.19,0.000106554,-7.654519386,-1.504813061,-6.149706325,0,0,0,0
2020-10-28 17:00,1877.08,-5.86E-05,-7.602555113,-1.16227903,-6.440276083,0,0,0,0
2020-10-28 18:00,1878.19,0.000591344,-7.38665655,-0.757104374,-6.629552176,0,0,0,0
2020-10-28 19:00,1879.4,0.000644237,-7.036802616,-0.325800352,-6.711002264,0,0,0,0
2020-10-28 20:00,1878.4,-0.000532085,-6.762281128,-0.041023091,-6.721258037,0,0,0,0
2020-10-28 21:00,1878.43,1.60E-05,-6.467743994,0.202811234,-6.670555228,1,0,0,1
2020-10-28 22:00,1878.6,9.05E-05,-6.149713545,0.416673347,-6.566386892,0,0,0,0
2020-10-28 23:00,1881.9,0.001756627,-5.567214321,0.799338057,-6.366552378,0,0,0,0
2020-10-29 0:00,1882.42,0.000276316,-5.005914766,1.08851009,-6.094424855,0,0,0,0
2020-10-29 1:00,1882.78,0.000191243,-4.480384746,1.291232087,-5.771616833,0,0,0,0
2020-10-29 2:00,1882.95,9.03E-05,-4.004024933,1.41407352,-5.418098453,0,0,0,0
2020-10-29 3:00,1881.35,-0.00084973,-3.71281397,1.364227587,-5.077041557,0,0,0,0
2020-10-29 4:00,1877.73,-0.00192415,-3.73112089,1.076736533,-4.807857423,0,0,0,0
2020-10-29 5:00,1877.35,-0.000202372,-3.733257413,0.859680008,-4.592937421,0,0,0,0
2020-10-29 6:00,1877.99,0.000340906,-3.641332952,0.761283575,-4.402616528,0,0,0,0
2020-10-29 7:00,1872.24,-0.003061784,-3.98650515,0.332889102,-4.319394252,0,0,0,0
2020-10-29 8:00,1864.08,-0.004358416,-4.862449121,-0.434443895,-4.428005226,0,1,1,0
2020-10-29 9:00,1871.86,0.004173641,-4.872690704,-0.355748382,-4.516942321,0,0,0,0
2020-10-29 10:00,1873.8,0.001036402,-4.670427662,-0.122788272,-4.547639389,0,0,0,0
