,date,close,ROI,BB_Lower,BB_Upper,BB_Middle,Entry_signal_long_3,Exit_signal_long_3,Entry_signal_short_3,Exit_signal_short_3,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-07-07,10524.01,,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
1,2020-07-08,10666.7,0.01355852,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
2,2020-07-09,10754.59,0.008239662,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
3,2020-07-10,10836.33,0.007600476,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
4,2020-07-13,10602.21,-0.021605101,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
5,2020-07-14,10689.52,0.008235076,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
6,2020-07-15,10701.68,0.001137563,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
7,2020-07-16,10626.46,-0.007028803,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
8,2020-07-17,10645.22,0.001765404,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
9,2020-07-20,10952.08,0.028826083,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
10,2020-07-21,10833.07,-0.010866428999999999,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
11,2020-07-22,10870.75,0.003478238,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
12,2020-07-23,10580.59,-0.026691811,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
13,2020-07-24,10483.13,-0.009211206999999999,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
14,2020-07-27,10674.38,0.018243597,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
15,2020-07-28,10532.5,-0.013291638,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
16,2020-07-29,10662.98,0.012388322,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
17,2020-07-30,10715.51,0.00492639,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
18,2020-07-31,10905.88,0.017765837,,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
19,2020-08-03,11055.08,0.013680693,10563.917940000001,10867.349059999999,10715.6335,0,0,0,0,0,0,100000.0,0,0.0,0.0
20,2020-08-04,11096.54,0.003750312,10577.35075,10911.16925,10744.26,0,0,0,0,0,0,100000.0,0,0.0,0.0
21,2020-08-05,11125.44,0.002604415,10581.09066,10953.30334,10767.197,0,0,0,0,0,0,100000.0,0,0.0,0.0
22,2020-08-06,11267.08,0.012731181999999999,10575.824340000001,11009.818659999999,10792.8215,0,0,0,0,0,0,100000.0,0,0.0,0.0
23,2020-08-07,11139.39,-0.011333016000000001,10577.60957,11038.33943,10807.9745,0,0,0,0,0,0,100000.0,0,0.0,0.0
24,2020-08-10,11085.17,-0.004867412,10599.16352,11065.081479999999,10832.1225,0,0,0,0,0,0,100000.0,0,0.0,0.0
25,2020-08-11,10876.08,-0.018862137,10610.778209999999,11072.122790000001,10841.4505,0,0,1,0,0,-1,101000.0,1000,0.0,0.09194489190958507
26,2020-08-12,11157.72,0.025895359,10625.7179,11102.7871,10864.2525,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
27,2020-08-13,11178.37,0.001850737,10650.36457,11133.33143,10891.848,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
28,2020-08-14,11164.45,-0.001245262,10676.325359999999,11159.29364,10917.8095,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
29,2020-08-17,11288.57,0.011117431,10679.31121,11189.95679,10934.633999999998,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
30,2020-08-18,11399.03,0.009785119,10688.78858,11237.075420000001,10962.931999999999,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
31,2020-08-19,11318.64,-0.007052354,10701.00478,11269.648220000001,10985.3265,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
32,2020-08-20,11477.05,0.013995498,10742.350559999999,11317.94844,11030.1495,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
33,2020-08-21,11555.16,0.006805756,10803.46171,11364.04029,11083.751,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
34,2020-08-24,11626.17,0.006145306999999999,10843.515790000001,11419.16521,11131.3405,0,0,0,0,0,-1,101000.0,0,0.0,0.09194489190958507
