,date,close,ROI,EMA_5,EMA_10,EMA_15,EMA_20,EMA_50,Entry_signal_long_7,Exit_signal_long_7,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-07-07,10524.01,,,,,,,0,0,0,0,100000.0,0,0.0,0
1,2020-07-08,10666.7,0.01355851999380464,,,,,,0,0,0,0,100000.0,0,0.0,0
2,2020-07-09,10754.59,0.008239661751056948,,,,,,0,0,0,0,100000.0,0,0.0,0
3,2020-07-10,10836.33,0.0076004757038621315,,,,,,0,0,0,0,100000.0,0,0.0,0
4,2020-07-13,10602.21,-0.02160510061985943,10676.768,,,,,0,0,0,0,100000.0,0,0.0,0
5,2020-07-14,10689.52,0.008235075517274426,10681.018666666667,,,,,0,0,0,0,100000.0,0,0.0,0
6,2020-07-15,10701.68,0.0011375627717615804,10687.905777777778,,,,,0,0,0,0,100000.0,0,0.0,0
7,2020-07-16,10626.46,-0.0070288029543026384,10667.423851851852,,,,,0,0,0,0,100000.0,0,0.0,0
8,2020-07-17,10645.22,0.001765404471479659,10660.022567901236,,,,,0,0,0,0,100000.0,0,0.0,0
9,2020-07-20,10952.08,0.0288260834440246,10757.37504526749,10699.88,,,,0,0,0,0,100000.0,0,0.0,0
10,2020-07-21,10833.07,-0.010866429025354065,10782.606696844994,10724.096363636363,,,,0,0,0,0,100000.0,0,0.0,0
11,2020-07-22,10870.75,0.003478238394102551,10811.987797896663,10750.760661157025,,,,0,0,0,0,100000.0,0,0.0,0
12,2020-07-23,10580.59,-0.02669181059264536,10734.855198597776,10719.820540946657,,,,0,0,0,0,100000.0,0,0.0,0
13,2020-07-24,10483.13,-0.009211206558424556,10650.946799065185,10676.785897138174,,,,0,0,0,0,100000.0,0,0.0,0
14,2020-07-27,10674.38,0.018243597093616115,10658.757866043456,10676.348461294869,10696.048,,,0,0,0,0,100000.0,0,0.0,0
15,2020-07-28,10532.5,-0.013291638483921231,10616.671910695635,10650.194195604892,10675.6045,,,0,0,0,0,100000.0,0,0.0,0
16,2020-07-29,10662.98,0.01238832186090666,10632.107940463758,10652.518887313094,10674.0264375,,,0,0,0,0,100000.0,0,0.0,0
17,2020-07-30,10715.51,0.0049263901836071895,10659.908626975839,10663.97181689253,10679.2118828125,,,0,0,0,0,100000.0,0,0.0,0
18,2020-07-31,10905.88,0.017765836623734987,10741.89908465056,10707.955122912068,10707.545397460939,,,0,0,0,0,100000.0,0,0.0,0
19,2020-08-03,11055.08,0.013680693350742956,10846.292723100374,10771.068736928055,10750.987222778322,10715.6335,,0,0,0,0,100000.0,0,0.0,0
20,2020-08-04,11096.54,0.0037503120737254476,10929.708482066917,10830.245330213862,10794.18131993103,10751.91030952381,,0,0,0,0,100000.0,0,0.0,0
21,2020-08-05,11125.44,0.002604415430395468,10994.952321377945,10883.917088356795,10835.588654939653,10787.484565759638,,0,0,0,0,100000.0,0,0.0,0
22,2020-08-06,11267.08,0.012731181867863263,11085.661547585298,10953.583072291924,10889.525073072196,10833.160321401578,,0,0,0,0,100000.0,0,0.0,0
23,2020-08-07,11139.39,-0.011333016185205104,11103.571031723533,10987.366150057027,10920.75818893817,10862.325052696666,,0,0,0,0,100000.0,0,0.0,0
24,2020-08-10,11085.17,-0.004867411949846412,11097.437354482354,11005.148668228476,10941.3096653209,10883.548381011273,,0,0,0,0,100000.0,0,0.0,0
25,2020-08-11,10876.08,-0.018862137432263167,11023.651569654905,10981.681637641479,10933.155957155786,10882.837106629244,,0,0,0,0,100000.0,0,0.0,0
26,2020-08-12,11157.72,0.025895359357415385,11068.341046436599,11013.688612615757,10961.226462511313,10909.01642980741,,0,0,0,0,100000.0,0,0.0,0
27,2020-08-13,11178.37,0.0018507365304023526,11105.017364291067,11043.630683049252,10988.369404697398,10934.669150778132,,0,0,0,0,100000.0,0,0.0,0
28,2020-08-14,11164.45,-0.0012452620552012572,11124.828242860713,11065.597831585752,11010.379479110225,10956.553041180216,,0,0,0,0,100000.0,0,0.0,0
29,2020-08-17,11288.57,0.011117430773571302,11179.408828573809,11106.138225842886,11045.153294221444,10988.173703924956,,0,0,0,0,100000.0,0,0.0,0
30,2020-08-18,11399.03,0.009785118930032866,11252.615885715872,11159.391275689632,11089.387882443765,11027.302874979725,,0,0,0,0,100000.0,0,0.0,0
31,2020-08-19,11318.64,-0.007052354454721298,11274.623923810583,11188.345589200608,11118.044397138294,11055.049267838796,,0,0,0,0,100000.0,0,0.0,0
32,2020-08-20,11477.05,0.01399549769230224,11342.099282540388,11240.837300255043,11162.920097496008,11095.239813758908,,0,0,0,0,100000.0,0,0.0,0
33,2020-08-21,11555.16,0.006805755834469629,11413.119521693592,11297.986882026853,11211.950085309009,11139.041736258065,,0,0,0,0,100000.0,0,0.0,0
34,2020-08-24,11626.17,0.006145306512415294,11484.13634779573,11357.656539840149,11263.727574645382,11185.434904233483,,0,0,0,0,100000.0,0,0.0,0
35,2020-08-25,11721.81,0.008226268840039186,11563.360898530484,11423.866259869214,11320.987877814707,11236.51824668744,,0,0,0,0,100000.0,0,0.0,0
36,2020-08-26,11971.94,0.021338854664936683,11699.553932353658,11523.516030802084,11402.356893087868,11306.558413669587,,0,0,0,0,100000.0,0,0.0,0
37,2020-08-27,11926.16,-0.003823941650225482,11775.089288235771,11596.724025201704,11467.832281451885,11365.5680885582,,0,0,0,0,100000.0,0,0.0,0
38,2020-08-28,11995.85,0.005843456737122389,11848.676192157185,11669.29238425594,11533.8344962704,11425.59493726694,,0,0,0,0,100000.0,0,0.0,0
39,2020-08-31,12110.7,0.009574144391602202,11936.017461438125,11749.548314391222,11605.9426842366,11490.843038479614,,0,0,0,0,100000.0,0,0.0,0
40,2020-09-01,12292.86,0.015041244519309329,12054.964974292085,11848.332257229185,11691.807348707023,11567.225606243459,,0,0,0,0,100000.0,0,0.0,0
41,2020-09-02,12420.54,0.01038651705136151,12176.823316194725,11952.37002864206,11782.898930118647,11648.493643744085,,0,0,0,0,100000.0,0,0.0,0
