,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-07-07,10524.01,,,0,0,0,0,0,0,100000.0,0,0,0
1,2020-07-08,10666.7,0.01355852,,0,0,0,0,0,0,100000.0,0,0,0
2,2020-07-09,10754.59,0.008239662,,0,0,0,0,0,0,100000.0,0,0,0
3,2020-07-10,10836.33,0.007600476,,0,0,0,0,0,0,100000.0,0,0,0
4,2020-07-13,10602.21,-0.021605101,,0,0,0,0,0,0,100000.0,0,0,0
5,2020-07-14,10689.52,0.008235076,,0,0,0,0,0,0,100000.0,0,0,0
6,2020-07-15,10701.68,0.001137563,,0,0,0,0,0,0,100000.0,0,0,0
7,2020-07-16,10626.46,-0.007028803,,0,0,0,0,0,0,100000.0,0,0,0
8,2020-07-17,10645.22,0.001765404,,0,0,0,0,0,0,100000.0,0,0,0
9,2020-07-20,10952.08,0.028826083,,0,0,0,0,0,0,100000.0,0,0,0
10,2020-07-21,10833.07,-0.010866428999999999,,0,0,0,0,0,0,100000.0,0,0,0
11,2020-07-22,10870.75,0.003478238,,0,0,0,0,0,0,100000.0,0,0,0
12,2020-07-23,10580.59,-0.026691811,,0,0,0,0,0,0,100000.0,0,0,0
13,2020-07-24,10483.13,-0.009211206999999999,,0,0,0,0,0,0,100000.0,0,0,0
14,2020-07-27,10674.38,0.018243597,51.57311684,0,0,0,0,0,0,100000.0,0,0,0
15,2020-07-28,10532.5,-0.013291638,45.78697148,0,0,0,0,0,0,100000.0,0,0,0
16,2020-07-29,10662.98,0.012388322,51.20845321,0,0,0,0,0,0,100000.0,0,0,0
17,2020-07-30,10715.51,0.00492639,53.23601447,0,0,0,0,0,0,100000.0,0,0,0
18,2020-07-31,10905.88,0.017765837,59.76194141,0,0,0,0,0,0,100000.0,0,0,0
19,2020-08-03,11055.08,0.013680693,64.00193189,0,0,0,0,0,0,100000.0,0,0,0
20,2020-08-04,11096.54,0.003750312,65.10237819,0,0,0,0,0,0,100000.0,0,0,0
21,2020-08-05,11125.44,0.002604415,65.88524017,0,0,0,0,0,0,100000.0,0,0,0
22,2020-08-06,11267.08,0.012731181999999999,69.49689458,0,0,0,0,0,0,100000.0,0,0,0
23,2020-08-07,11139.39,-0.011333016000000001,63.01957951,0,1,1,0,0,0,100000.0,0,0,0
24,2020-08-10,11085.17,-0.004867412,60.44345862,0,0,0,0,0,0,100000.0,0,0,0
25,2020-08-11,10876.08,-0.018862137,51.67143669,0,0,0,0,0,0,100000.0,0,0,0
26,2020-08-12,11157.72,0.025895359,60.07624064,0,0,0,0,0,0,100000.0,0,0,0
27,2020-08-13,11178.37,0.001850737,60.61704772,0,0,0,0,0,0,100000.0,0,0,0
28,2020-08-14,11164.45,-0.001245262,60.02676544,0,0,0,0,0,0,100000.0,0,0,0
29,2020-08-17,11288.57,0.011117431,63.44497921,0,0,0,0,0,0,100000.0,0,0,0
30,2020-08-18,11399.03,0.009785119,66.21393191,0,0,0,0,0,0,100000.0,0,0,0
31,2020-08-19,11318.64,-0.007052354,62.50325768,0,0,0,0,0,0,100000.0,0,0,0
32,2020-08-20,11477.05,0.013995498,66.48856424,0,0,0,0,0,0,100000.0,0,0,0
33,2020-08-21,11555.16,0.006805756,68.27886361,0,0,0,0,0,0,100000.0,0,0,0
34,2020-08-24,11626.17,0.006145306999999999,69.85552319,0,0,0,0,0,0,100000.0,0,0,0
35,2020-08-25,11721.81,0.008226269,71.88259516,0,0,0,0,0,0,100000.0,0,0,0
36,2020-08-26,11971.94,0.021338855,76.35994301,0,0,0,0,0,0,100000.0,0,0,0
37,2020-08-27,11926.16,-0.0038239420000000003,74.03621912,0,0,0,0,0,0,100000.0,0,0,0
38,2020-08-28,11995.85,0.005843457,75.2699577,0,0,0,0,0,0,100000.0,0,0,0
39,2020-08-31,12110.7,0.009574144,77.19332572,0,0,0,0,0,0,100000.0,0,0,0
40,2020-09-01,12292.86,0.015041245,79.86778392,0,0,0,0,0,0,100000.0,0,0,0
41,2020-09-02,12420.54,0.010386517,81.5049194,0,0,0,0,0,0,100000.0,0,0,0
42,2020-09-03,11771.37,-0.052265844000000006,56.39465705,0,1,1,0,0,0,100000.0,0,0,0
43,2020-09-04,11622.13,-0.012678218,52.398027899999995,0,0,0,0,0,0,100000.0,0,0,0
44,2020-09-08,11068.26,-0.047656497,40.83242347,0,0,0,0,0,0,100000.0,0,0,0
45,2020-09-09,11395.85,0.029597245,48.12555922,0,0,0,0,0,0,100000.0,0,0,0
46,2020-09-10,11154.12,-0.021212107999999997,43.83209954,0,0,0,0,0,0,100000.0,0,0,0
47,2020-09-11,11087.4,-0.005981646,42.69978405,0,0,0,0,0,0,100000.0,0,0,0
48,2020-09-14,11277.76,0.017169039,46.91348519,0,0,0,0,0,0,100000.0,0,0,0
49,2020-09-15,11438.87,0.014285638,50.24812125,0,0,0,0,0,0,100000.0,0,0,0
50,2020-09-16,11247.6,-0.016721057,46.51265831,0,0,0,0,0,0,100000.0,0,0,0
51,2020-09-17,11080.95,-0.014816494,43.47977934,0,0,0,0,0,0,100000.0,0,0,0
52,2020-09-18,10936.98,-0.012992568000000001,40.99295822,0,0,0,0,0,0,100000.0,0,0,0
53,2020-09-21,10980.22,0.003953559000000001,42.06472103,0,0,0,0,0,0,100000.0,0,0,0
54,2020-09-22,11186.37,0.018774669,47.00667137,0,0,0,0,0,0,100000.0,0,0,0
55,2020-09-23,10833.33,-0.031559836,40.61687473,0,0,0,0,0,0,100000.0,0,0,0
56,2020-09-24,10896.47,0.005828309,42.13194158,0,0,0,0,0,0,100000.0,0,0,0
57,2020-09-25,11151.13,0.023370871,47.90499611,0,0,0,0,0,0,100000.0,0,0,0
58,2020-09-28,11364.45,0.019129900000000002,52.20623457,0,0,0,0,0,0,100000.0,0,0,0
59,2020-09-29,11322.95,-0.003651739,51.31852116,0,0,0,0,0,0,100000.0,0,0,0
60,2020-09-30,11418.06,0.008399754,53.27927361,0,0,0,0,0,0,100000.0,0,0,0
61,2020-10-01,11583.2,0.014463051999999999,56.55150863,0,0,0,0,0,0,100000.0,0,0,0
62,2020-10-02,11255.69,-0.02827457,49.19292078,0,0,0,0,0,0,100000.0,0,0,0
63,2020-10-05,11509.06,0.022510392999999997,54.16215828,0,0,0,0,0,0,100000.0,0,0,0
64,2020-10-06,11291.27,-0.018923353,49.66552014,0,0,0,0,0,0,100000.0,0,0,0
65,2020-10-07,11503.19,0.018768482,53.69405754,0,0,0,0,0,0,100000.0,0,0,0
66,2020-10-08,11550.94,0.004151022,54.57622523,0,0,0,0,0,0,100000.0,0,0,0
67,2020-10-09,11725.85,0.015142491000000001,57.75129839,0,0,0,0,0,0,100000.0,0,0,0
68,2020-10-12,12088.11,0.030894136000000003,63.44968676,0,0,0,0,0,0,100000.0,0,0,0
69,2020-10-13,12083.17,-0.00040866599999999997,63.32425716,0,0,0,0,0,0,100000.0,0,0,0
70,2020-10-14,11985.36,-0.00809473,60.76301378,0,0,0,0,0,0,100000.0,0,0,0
71,2020-10-15,11898.57,-0.007241334,58.50190295,0,0,0,0,0,0,100000.0,0,0,0
72,2020-10-16,11852.17,-0.003899628,57.27480525,0,0,0,0,0,0,100000.0,0,0,0
73,2020-10-19,11634.35,-0.018378069,51.78362096,0,0,0,0,0,0,100000.0,0,0,0
74,2020-10-20,11677.84,0.003738069,52.75751448,0,0,0,0,0,0,100000.0,0,0,0
75,2020-10-21,11665.37,-0.001067834,52.43050327,0,0,0,0,0,0,100000.0,0,0,0
76,2020-10-22,11662.91,-0.00021088099999999998,52.36155170000001,0,0,0,0,0,0,100000.0,0,0,0
77,2020-10-23,11692.57,0.002543105,53.16135859,0,0,0,0,0,0,100000.0,0,0,0
