,date,close,ROI,MACD_8_21_9,MACDh_8_21_9,MACDs_8_21_9,Entry_signal_long_1,Exit_signal_long_1,Entry_signal_short_1,Exit_signal_short_1,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-10-22 17:00,1903.88,,,,,0,0,0,0,0,0,100000.0,0,0.0,0
1,2020-10-22 18:00,1906.45,0.001349875,,,,0,0,0,0,0,0,100000.0,0,0.0,0
2,2020-10-22 19:00,1904.94,-0.0007920480000000001,,,,0,0,0,0,0,0,100000.0,0,0.0,0
3,2020-10-22 20:00,1903.31,-0.00085567,,,,0,0,0,0,0,0,100000.0,0,0.0,0
4,2020-10-22 21:00,1904.57,0.000662005,,,,0,0,0,0,0,0,100000.0,0,0.0,0
5,2020-10-22 22:00,1907.02,0.00128638,,,,0,0,0,0,0,0,100000.0,0,0.0,0
6,2020-10-22 23:00,1906.55,-0.000246458,,,,0,0,0,0,0,0,100000.0,0,0.0,0
7,2020-10-23 0:00,1905.95,-0.000314705,,,,0,0,0,0,0,0,100000.0,0,0.0,0
8,2020-10-23 1:00,1904.92,-0.000540413,,,,0,0,0,0,0,0,100000.0,0,0.0,0
9,2020-10-23 2:00,1906.49,0.000824182,,,,0,0,0,0,0,0,100000.0,0,0.0,0
10,2020-10-23 3:00,1908.84,0.001232632,,,,0,0,0,0,0,0,100000.0,0,0.0,0
11,2020-10-23 4:00,1911.12,0.0011944430000000001,,,,0,0,0,0,0,0,100000.0,0,0.0,0
12,2020-10-23 5:00,1909.25,-0.000978484,,,,0,0,0,0,0,0,100000.0,0,0.0,0
13,2020-10-23 6:00,1910.68,0.000748985,,,,0,0,0,0,0,0,100000.0,0,0.0,0
14,2020-10-23 7:00,1910.78,5.2300000000000004e-05,,,,0,0,0,0,0,0,100000.0,0,0.0,0
15,2020-10-23 8:00,1910.72,-3.14e-05,,,,0,0,0,0,0,0,100000.0,0,0.0,0
16,2020-10-23 9:00,1903.46,-0.003799615,,,,0,0,0,0,0,0,100000.0,0,0.0,0
17,2020-10-23 10:00,1898.02,-0.002857953,,,,0,0,0,0,0,0,100000.0,0,0.0,0
18,2020-10-23 11:00,1898.78,0.00040041699999999997,,,,0,0,0,0,0,0,100000.0,0,0.0,0
19,2020-10-23 12:00,1900.96,0.001148106,,,,0,0,0,0,0,0,100000.0,0,0.0,0
20,2020-10-23 13:00,1903.25,0.0012046539999999999,-2.256339005,,,0,0,0,0,0,0,100000.0,0,0.0,0
21,2020-10-23 14:00,1902.24,-0.000530671,-2.210774493,,,0,0,0,0,0,0,100000.0,0,0.0,0
22,2020-10-23 15:00,1903.72,0.00077803,-1.939551616,,,0,0,0,0,0,0,100000.0,0,0.0,0
23,2020-10-23 16:00,1902.05,-0.00087723,-1.927887933,,,0,0,0,0,0,0,100000.0,0,0.0,0
24,2020-10-25 18:00,1893.74,-0.00436897,-2.971905775,,,0,0,0,0,0,0,100000.0,0,0.0,0
25,2020-10-25 19:00,1898.64,0.002587472,-3.006627364,,,0,0,0,0,0,0,100000.0,0,0.0,0
26,2020-10-25 20:00,1900.21,0.000826908,-2.76427642,,,0,0,0,0,0,0,100000.0,0,0.0,0
27,2020-10-25 21:00,1897.65,-0.00134722,-2.873234815,,,0,0,0,0,0,0,100000.0,0,0.0,0
28,2020-10-25 22:00,1899.1,0.000764103,-2.7018269160000004,-0.184890878,-2.516936037,0,0,0,0,0,0,100000.0,0,0.0,0
29,2020-10-25 23:00,1898.42,-0.000358064,-2.6153399790000003,-0.078723153,-2.536616826,0,0,0,0,0,0,100000.0,0,0.0,0
30,2020-10-26 0:00,1897.57,-0.000447741,-2.61296861,-0.061081427,-2.5518871830000003,0,0,0,0,0,0,100000.0,0,0.0,0
31,2020-10-26 1:00,1897.22,-0.00018444599999999998,-2.604464235,-0.042061642,-2.5624025930000003,0,0,0,0,0,0,100000.0,0,0.0,0
32,2020-10-26 2:00,1897.86,0.000337336,-2.461795198,0.08048591599999999,-2.542281114,1,0,0,1,1,0,99000.0,-1000,0.5269092556879854,0
33,2020-10-26 3:00,1900.49,0.001385771,-1.96583133,0.461159828,-2.426991157,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
34,2020-10-26 4:00,1898.53,-0.001031313,-1.83280978,0.475345102,-2.3081548819999997,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
35,2020-10-26 5:00,1902.82,0.002259643,-1.1383943440000002,0.93580843,-2.074202774,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
36,2020-10-26 6:00,1904.76,0.0010195389999999999,-0.36964819200000004,1.363643666,-1.733291858,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
37,2020-10-26 7:00,1903.93,-0.00043575,0.072387436,1.444543435,-1.372155999,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
38,2020-10-26 8:00,1901.5,-0.001276307,0.064384598,1.149232477,-1.08484788,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
39,2020-10-26 9:00,1905.22,0.00195635,0.545910175,1.304606444,-0.7586962690000001,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
40,2020-10-26 10:00,1903.67,-0.000813554,0.671818963,1.1444121859999998,-0.47259322200000003,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
41,2020-10-26 11:00,1904.48,0.000425494,0.853636915,1.06098411,-0.207347195,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
42,2020-10-26 12:00,1904.21,-0.000141771,0.929495328,0.9094740179999999,0.02002131,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
43,2020-10-26 13:00,1902.68,-0.000803483,0.763445815,0.594739604,0.16870621100000002,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
44,2020-10-26 14:00,1903.46,0.00040994800000000004,0.733038163,0.45146556200000004,0.28157260100000003,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
45,2020-10-26 15:00,1902.49,-0.000509598,0.5693552129999999,0.23022609,0.339129123,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
46,2020-10-26 16:00,1902.08,-0.000215507,0.388279286,0.03932013,0.348959156,0,0,0,0,1,0,99000.0,0,0.5269092556879854,0
47,2020-10-26 17:00,1902.04,-2.1e-05,0.24714925,-0.081447925,0.328597175,0,1,1,0,0,0,100002.20248068878,1002,0.0,0
48,2020-10-26 18:00,1902.56,0.000273391,0.21065025,-0.09435754,0.30500779,0,0,0,0,0,0,100002.20248068878,0,0.0,0
49,2020-10-26 19:00,1902.29,-0.00014191399999999998,0.14513277,-0.127900016,0.273032786,0,0,0,0,0,0,100002.20248068878,0,0.0,0
50,2020-10-26 20:00,1905.41,0.0016401279999999998,0.5055722739999999,0.18603159100000002,0.31954068399999996,1,0,0,1,1,0,99002.20248068878,-1000,0.5248214295086097,0
51,2020-10-26 21:00,1907.05,0.0008607069999999999,0.965568443,0.516822208,0.448746235,0,0,0,0,1,0,99002.20248068878,0,0.5248214295086097,0
52,2020-10-26 22:00,1908.94,0.0009910589999999999,1.519493644,0.856597927,0.662895717,0,0,0,0,1,0,99002.20248068878,0,0.5248214295086097,0
53,2020-10-26 23:00,1907.7,-0.000649575,1.717632804,0.8437896690000001,0.873843135,0,0,0,0,1,0,99002.20248068878,0,0.5248214295086097,0
54,2020-10-27 0:00,1907.74,2.1e-05,1.828284072,0.76355275,1.064731322,0,0,0,0,1,0,99002.20248068878,0,0.5248214295086097,0
