,date,close,ROI,RSI_14,Entry_signal_long_6,Exit_signal_long_6,Entry_signal_short_6,Exit_signal_short_6,LONG,SHORT,account_value,cash_flow,shares_long,shares_short
0,2020-10-22 17:00,1903.88,,,0,0,0,0,0,0,100000.0,0,0.0,0.0
1,2020-10-22 18:00,1906.45,0.001349875,,0,0,0,0,0,0,100000.0,0,0.0,0.0
2,2020-10-22 19:00,1904.94,-0.0007920480000000001,,0,0,0,0,0,0,100000.0,0,0.0,0.0
3,2020-10-22 20:00,1903.31,-0.00085567,,0,0,0,0,0,0,100000.0,0,0.0,0.0
4,2020-10-22 21:00,1904.57,0.000662005,,0,0,0,0,0,0,100000.0,0,0.0,0.0
5,2020-10-22 22:00,1907.02,0.00128638,,0,0,0,0,0,0,100000.0,0,0.0,0.0
6,2020-10-22 23:00,1906.55,-0.000246458,,0,0,0,0,0,0,100000.0,0,0.0,0.0
7,2020-10-23 0:00,1905.95,-0.000314705,,0,0,0,0,0,0,100000.0,0,0.0,0.0
8,2020-10-23 1:00,1904.92,-0.000540413,,0,0,0,0,0,0,100000.0,0,0.0,0.0
9,2020-10-23 2:00,1906.49,0.000824182,,0,0,0,0,0,0,100000.0,0,0.0,0.0
10,2020-10-23 3:00,1908.84,0.001232632,,0,0,0,0,0,0,100000.0,0,0.0,0.0
11,2020-10-23 4:00,1911.12,0.0011944430000000001,,0,0,0,0,0,0,100000.0,0,0.0,0.0
12,2020-10-23 5:00,1909.25,-0.000978484,,0,0,0,0,0,0,100000.0,0,0.0,0.0
13,2020-10-23 6:00,1910.68,0.000748985,,0,0,0,0,0,0,100000.0,0,0.0,0.0
14,2020-10-23 7:00,1910.78,5.2300000000000004e-05,67.83235295,0,0,0,0,0,0,100000.0,0,0.0,0.0
15,2020-10-23 8:00,1910.72,-3.14e-05,67.50078859999999,0,0,0,0,0,0,100000.0,0,0.0,0.0
16,2020-10-23 9:00,1903.46,-0.003799615,41.23586588,0,0,0,0,0,0,100000.0,0,0.0,0.0
17,2020-10-23 10:00,1898.02,-0.002857953,31.38220351,0,0,0,0,0,0,100000.0,0,0.0,0.0
18,2020-10-23 11:00,1898.78,0.00040041699999999997,33.7635309,0,0,0,0,0,0,100000.0,0,0.0,0.0
19,2020-10-23 12:00,1900.96,0.001148106,40.17680137,0,0,0,0,0,0,100000.0,0,0.0,0.0
20,2020-10-23 13:00,1903.25,0.0012046539999999999,46.0825554,0,0,0,0,0,0,100000.0,0,0.0,0.0
21,2020-10-23 14:00,1902.24,-0.000530671,44.01854454,0,0,0,0,0,0,100000.0,0,0.0,0.0
22,2020-10-23 15:00,1903.72,0.00077803,47.71414223,0,0,0,0,0,0,100000.0,0,0.0,0.0
23,2020-10-23 16:00,1902.05,-0.00087723,44.1707841,0,0,0,0,0,0,100000.0,0,0.0,0.0
24,2020-10-25 18:00,1893.74,-0.00436897,31.59664759,0,0,0,0,0,0,100000.0,0,0.0,0.0
25,2020-10-25 19:00,1898.64,0.002587472,42.06878718,0,0,0,0,0,0,100000.0,0,0.0,0.0
26,2020-10-25 20:00,1900.21,0.000826908,44.97550172,0,0,0,0,0,0,100000.0,0,0.0,0.0
27,2020-10-25 21:00,1897.65,-0.00134722,41.33367885,0,0,0,0,0,0,100000.0,0,0.0,0.0
28,2020-10-25 22:00,1899.1,0.000764103,44.09493489,0,0,0,0,0,0,100000.0,0,0.0,0.0
29,2020-10-25 23:00,1898.42,-0.000358064,43.07110125,0,0,0,0,0,0,100000.0,0,0.0,0.0
30,2020-10-26 0:00,1897.57,-0.000447741,41.76566758,0,0,0,0,0,0,100000.0,0,0.0,0.0
31,2020-10-26 1:00,1897.22,-0.00018444599999999998,41.21177699,0,0,0,0,0,0,100000.0,0,0.0,0.0
32,2020-10-26 2:00,1897.86,0.000337336,42.70799604,0,0,0,0,0,0,100000.0,0,0.0,0.0
33,2020-10-26 3:00,1900.49,0.001385771,48.50772123,0,0,0,0,0,0,100000.0,0,0.0,0.0
34,2020-10-26 4:00,1898.53,-0.001031313,44.8628261,0,0,0,0,0,0,100000.0,0,0.0,0.0
35,2020-10-26 5:00,1902.82,0.002259643,53.15913598,0,0,0,0,0,0,100000.0,0,0.0,0.0
36,2020-10-26 6:00,1904.76,0.0010195389999999999,56.35716595,0,0,0,0,0,0,100000.0,0,0.0,0.0
37,2020-10-26 7:00,1903.93,-0.00043575,54.63840035,0,0,0,0,0,0,100000.0,0,0.0,0.0
38,2020-10-26 8:00,1901.5,-0.001276307,49.84542016,0,0,0,0,0,0,100000.0,0,0.0,0.0
39,2020-10-26 9:00,1905.22,0.00195635,56.18233968,0,0,0,0,0,0,100000.0,0,0.0,0.0
